prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,notes
PHL001,Andorra Family Dentistry,"8919 Ridge Ave., Suite 9, Philadelphia, PA 19128",(215) 515-5710,"Philadelphia, PA",Health,https://phl-2026-w33.netlify.app/sites/andorra-family-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL001,ready,hold,,,,,
PHL002,Benjamin Lovell Shoes,"1728 Chestnut Street, Philadelphia, PA 19103",215.564.4655,"Philadelphia, PA",Retail,https://phl-2026-w33.netlify.app/sites/benjamin-lovell-shoes/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL002,ready,hold,,,,,
PHL003,Davidson Fabricating,"11 Hagerty Blvd, West Chester, PA 19382",(610) 544-9750,"Philadelphia, PA",Industrial,https://phl-2026-w33.netlify.app/sites/davidson-fabricating/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL003,ready,hold,,,,,
PHL004,Dream Team Home Services,"439 S. Lansdowne Ave, Lansdowne, PA 19050",610-477-8226,"Philadelphia, PA",Home Services,https://phl-2026-w33.netlify.app/sites/dream-team-hvac/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL004,ready,hold,,,,,
PHL005,Dutton Road Veterinary Clinic,"10901 Dutton Road, Philadelphia, PA 19154",215-331-2968,"Philadelphia, PA",Health,https://phl-2026-w33.netlify.app/sites/dutton-road-veterinary-clinic/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL005,ready,hold,,,,,
PHL006,Eastern Dragon,"830 Upper State Rd., North Wales, PA 19454",(215) 855-0366,"Philadelphia, PA",Restaurant,https://phl-2026-w33.netlify.app/sites/eastern-dragon/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL006,ready,hold,,,,,
PHL007,Electric Direct,"1812 Darby Rd, Havertown, PA 19083",610.853.8288,"Philadelphia, PA",Home Services,https://phl-2026-w33.netlify.app/sites/electric-direct/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL007,ready,hold,,,,,
PHL008,Elverson Supply,"101 East Main Street, Elverson, PA 19520",(610) 286-5021,"Philadelphia, PA",Retail,https://phl-2026-w33.netlify.app/sites/elverson-supply/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL008,ready,hold,,,,,
PHL009,Floral and Hardy of Skippack,"4007 Skippack Pike, Skippack, PA 19474",610-584-0797,"Philadelphia, PA",Retail,https://phl-2026-w33.netlify.app/sites/floral-and-hardy/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL009,ready,hold,,,,,
PHL010,GO2 Tech,"606 Baltimore Pike, Springfield, PA 19064",,"Philadelphia, PA",Professional Services,https://phl-2026-w33.netlify.app/sites/go2tech/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL010,ready,hold,,,,,
PHL011,Home Furnishing Consignment,"Gateway Shopping Center, 139 East Swedesford Road, Wayne, PA 19087",610.964.1903,"Philadelphia, PA",Retail,https://phl-2026-w33.netlify.app/sites/home-furnishings-consignment/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL011,ready,hold,,,,,
PHL012,Johnny's Pizza & Pasta,"5 Main Street, Spring Mount, PA 19473",610.287.4771,"Philadelphia, PA",Restaurant,https://phl-2026-w33.netlify.app/sites/johnnys-pizza/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL012,ready,hold,,,,,
PHL013,MacLaren Kitchen and Bath,"1135 Phoenixville Pike, West Chester, PA 19380",,"Philadelphia, PA",Home Services,https://phl-2026-w33.netlify.app/sites/maclaren-kitchen-and-bath/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL013,ready,hold,,,,,
PHL014,Metalmorphose Ironworks,"1296 Cannery Rd, Kennett Square, PA 19348",(484) 919-4548,"Philadelphia, PA",Industrial,https://phl-2026-w33.netlify.app/sites/metalmorphose-iron-studio/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL014,ready,hold,,,,,
PHL015,The New Pennsburg Diner,"321 Pottstown Ave, Pennsburg, PA 18073",215-679-2190,"Philadelphia, PA",Restaurant,https://phl-2026-w33.netlify.app/sites/new-pennsburg-diner/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL015,ready,hold,,,,,
